time,x_h2o
0.000004868122160522096, 783.3782000391509
2.429328621882518e-7, 731.5151086073895
0.000001711572438159573, 1034.4251008678448
0.000015751593260978086, 656.9411105794331
0.00019652053886925436, 759.7469168696716
0.00011129361749116452, 710.5307932399514
0.00034523152237926646, 835.5610535931793
0.00048321002650176387, 896.4384135200976
0.0006530894189242215, 959.2882155907431
0.0007227329946996436, 1001.9445036540808
0.0008854291813898671, 1052.5148447015833
0.0009743264134275582, 1075.608252131547
0.001110753920053001, 1108.0741854445798
0.001260325198763248, 1161.3422274665047
0.0013975458259717281, 1189.8506285888295
0.0016217235120362162, 1233.4454695112665
0.0018454840253239078, 1274.4805115712547
0.0019635085394581835, 1303.5966047503048
0.002009469964664309, 1329.0570188794152
0.002062255686837454, 1308.5361792021927
0.002213928764232427, 1349.708054202193
0.0023378938457008207, 1344.6042047300045
0.0024232265901060032, 1385.2184835566386
0.0025854543948763222, 1386.8297046285022
0.0027803598596387877, 1411.7770503451081
0.0029897682935806796, 1428.2393803288676
0.0031781400912838606, 1429.921208891596
0.0034196471952296784, 1455.7284371193666
0.0035261130742049434, 1440.013588611449
0.0036806592314487605, 1458.7066077953716
0.0038307983657243794, 1456.422350791718
0.004016475265017664, 1483.023751522534
0.004193109540636039, 1468.1619214372715
0.004330240724381623, 1481.273294762485
0.004460781802120136, 1482.5413748477467
0.00460417126766784, 1475.5926461632152
0.004702620730270904, 1487.0036540803899
0.004777331603356886, 1481.0041489037758
0.004860182475706712, 1487.4176880328866
0.004983341431095403, 1487.6501218026795
0.005233950557641338, 1498.4943095310598
0.005352536992049467, 1498.1051309378804
0.005504521863957594, 1500.0559531059685
0.005577385159010598, 1502.5043500957017
0.0056955885600706675, 1498.6167783191227
0.005765632887430587, 1497.794827736211
0.005919223443021197, 1498.1068247563942
0.00002120141342755878, 703.7758830694278
0.000010600706713778024, 673.0816077953717
0.00419787985865724, 1482.095006090134
